"Product Code","Product Name",Variant,Expected,Counted
bakf,"Balochi Karhai",,100.0000,
bakh,"Balochi Karhai",,0.0000,
bb,"Beef Behari",,0.0000,
bbfk,"Beef Butterfried Kabab",,0.0000,
bbqp,"BAR. B.Q Platter",,0.0000,
bbr,"Beef Behari Roll",,0.0000,
bck,"Beef Cheese Kabab",,0.0000,
bkf,"Boneless Karhai",,0.0000,
bkh,"Boneless Karhai",,0.0000,
bnk,"Beef Namkeen Kabab",,0.0000,
bsk,"Beef Seekh Kabab",,0.0000,
cb,"Chicken Boti",,0.0000,
ccr,"Chicken Chatni Roll",,0.0000,
cf,Coffee,,0.0000,
cgt,"Chicken Green Tikka",,0.0000,
ch,"Chicken Handi",,0.0000,
chapati,Chapati,,0.0000,
ckf,"Chicken Karhai",,0.0000,
ckh,"Chicken Karhai",,0.0000,
cmar,"Chicken Malai Roll",,0.0000,
cmb,"Chicken Malai Boti",,0.0000,
cmh,"Chicken Makhni Handi",,0.0000,
cmr,"Chicken Mayo Roll",,0.0000,
cmt,"Chicken Malai Tikka",,0.0000,
cnk,"Chicken Namkeen Kabab",,0.0000,
crk,"Chicken Reshmi Kabab",,0.0000,
crkr,"Chicken Reshmi Kabab Roll",,0.0000,
ct,"Chicken Tikka",,0.0000,
cwkf,"Chicken White Karhai",,0.0000,
cwkh,"Chicken White Karahi",,0.0000,
czr,"Chicken Zinger Roll",,0.0000,
dp,Doodhpatti,,0.0000,
fc,"Fish & Chips",,0.0000,
ff,"French Fries",,0.0000,
ft,"Fish Tikka",,0.0000,
gf,"Grilled Fish",,0.0000,
gn,"Garlic Naan",,0.0000,
kc,"Kashmiri Chai",,0.0000,
kv,Kahva,,0.0000,
lw,"Large Water",,0.0000,
mkf,"Mutton Karhai",,0.0000,
mkh,"Mutton Karhai",,0.0000,
mwkf,"Mutton White Karhai",,0.0000,
mwkh,"Mutton White Karhai",,0.0000,
pn,"Plain Naan",,0.0000,
pp,"Puri Paratha",,0.0000,
prh,"Paneer Reshmi Handi",,0.0000,
raita,Raita,,0.0000,
rn,"Roghni Naan",,0.0000,
salad,Salad,,0.0000,
sd,"Soft Drink",,0.0000,
sw,"Small Water",,0.0000,
